slug,player_name,public_report_summary,public_why_he_wins,public_primary_concerns,public_film_notes,public_role_projection,seo_description,private_owner_notes
davison-igbinosun,Davison Igbinosun,"Davison Igbinosun (CB, Ohio State) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside matchup corner in Press-match / quarters travel-capable fit. The current model grade sits at 83.88, with the board currently slotting him at No. 59. early contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside matchup corner within Press-match / quarters travel-capable fit.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: early contributor profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside matchup corner in Press-match / quarters travel-capable fit. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Aaron Ross (2007), athletic-profile match 93.01%.","Davison Igbinosun CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
deion-burks,Deion Burks,"Deion Burks (WR, Oklahoma) projects as a Round 3-4 talent with his cleanest NFL path coming as a field-stretching z receiver in Vertical spread / play-action launcher. The current model grade sits at 83.57, with the board currently slotting him at No. 60. early contributor profile; creates separation and finishes at the catch point.","- Usage fit: Field-stretching Z receiver within Vertical spread / play-action launcher.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by vertical speed stress.
- Model + film note: early contributor profile; creates separation and finishes at the catch point.","- Route-level efficiency is light for top projection tiers (YPRR 1.88).
- Target-earning rate (18.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 64.1 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: CLE. Expected early deployment: Field-stretching Z receiver in Vertical spread / play-action launcher. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Calvin Austin (2022), athletic-profile match 90.71%.","Deion Burks WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
chris-johnson,Chris Johnson,"Chris Johnson (CB, San Diego State) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 83.56, with the board currently slotting him at No. 61. early contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: early contributor profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Lionel Smith (2012), athletic-profile match 96.37%.","Chris Johnson CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
genesis-smith,Genesis Smith,"Genesis Smith (S, Arizona) projects as a Round 3-4 talent with his cleanest NFL path coming as a coverage-adjustment back-end starter in Split-safety multiplicity. The current model grade sits at 83.36, with the board currently slotting him at No. 62. early contributor profile; eliminates explosives with range and communication.","- Usage fit: Coverage-adjustment back-end starter within Split-safety multiplicity.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: early contributor profile; eliminates explosives with range and communication.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Coverage-adjustment back-end starter in Split-safety multiplicity. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Smoke Monday (2022), athletic-profile match 92.67%.","Genesis Smith S scouting report, traits, role fit, concerns, and NFL Draft projection.",
jacob-rodriguez,Jacob Rodriguez,"Jacob Rodriguez (LB, Texas Tech) projects as a Round 3-4 talent with his cleanest NFL path coming as a space-match overhang backer in Big nickel overhang match. The current model grade sits at 83.27, with the board currently slotting him at No. 63. early contributor profile; processes quickly and closes efficiently.","- Usage fit: Space-match overhang backer within Big nickel overhang match.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: early contributor profile; processes quickly and closes efficiently.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Space-match overhang backer in Big nickel overhang match. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Clay Johnston (2020), athletic-profile match 94.85%.","Jacob Rodriguez LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
keyshaun-elliott,Keyshaun Elliott,"Keyshaun Elliott (LB, Arizona State) projects as a Round 3-4 talent with his cleanest NFL path coming as a balanced mike/will communicator in Match-zone multiple. The current model grade sits at 83.10, with the board currently slotting him at No. 64. early contributor profile; processes quickly and closes efficiently.","- Usage fit: Balanced MIKE/WILL communicator within Match-zone multiple.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: early contributor profile; processes quickly and closes efficiently.","- PFF grade 67.5 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Balanced MIKE/WILL communicator in Match-zone multiple. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Anthony Trucks (2006), athletic-profile match 96.09%.","Keyshaun Elliott LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
chandler-rivers,Chandler Rivers,"Chandler Rivers (CB, Duke) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside matchup corner in Press-match / quarters travel-capable fit. The current model grade sits at 83.25, with the board currently slotting him at No. 65. early contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside matchup corner within Press-match / quarters travel-capable fit.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: early contributor profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside matchup corner in Press-match / quarters travel-capable fit. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Scotty McGee (2010), athletic-profile match 93.8%.","Chandler Rivers CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
elijah-sarratt,Elijah Sarratt,"Elijah Sarratt (WR, Indiana Hoosiers) projects as a Round 3-4 talent with his cleanest NFL path coming as a boundary vertical stressor in Play-action shot / isolation winner. The current model grade sits at 82.98, with the board currently slotting him at No. 66. early contributor profile; creates separation and finishes at the catch point.","- Usage fit: Boundary vertical stressor within Play-action shot / isolation winner.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by route-volume earning.
- Model + film note: early contributor profile; creates separation and finishes at the catch point.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,"Best early team fit: CLE. Expected early deployment: Boundary vertical stressor in Play-action shot / isolation winner. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Elic Ayomanor (2025), athletic-profile match 97.71%.","Elijah Sarratt WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
jonah-coleman,Jonah Coleman,"Jonah Coleman (RB, Washington Huskies) projects as a Round 3-4 talent with his cleanest NFL path coming as a primary committee back with passing-down utility in Wide-zone committee. The current model grade sits at 82.95, with the board currently slotting him at No. 67. early contributor profile; creates hidden yards and stays on schedule.","- Usage fit: Primary committee back with passing-down utility within Wide-zone committee.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: early contributor profile; creates hidden yards and stays on schedule.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,"Best early team fit: DAL. Expected early deployment: Primary committee back with passing-down utility in Wide-zone committee. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: Kyle Monangai (2025), athletic-profile match 95.13%.","Jonah Coleman RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
jermod-mccoy,Jermod McCoy,"Jermod McCoy (CB, Tennessee) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 83.03, with the board currently slotting him at No. 68. early contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: early contributor profile; matches routes with disciplined leverage.","- No stable PFF grade loaded yet; track week-to-week consistency until the performance baseline is complete.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Travis Hunter (2025), athletic-profile match 97.72%.","Jermod McCoy CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
brian-parker-ii,Brian Parker II,"Brian Parker II (OT, Duke Blue Devils) projects as a Round 3-4 talent with his cleanest NFL path coming as a power-side right tackle profile in Gap / duo front-side tackle fit. The current model grade sits at 82.76, with the board currently slotting him at No. 69. early contributor profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Power-side right tackle profile within Gap / duo front-side tackle fit.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: early contributor profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Power-side right tackle profile in Gap / duo front-side tackle fit. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Markus Zusevics (2012), athletic-profile match 95.2%.","Brian Parker II OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
domonique-orange,Domonique Orange,"Domonique Orange (DT, Iowa State Cyclones) projects as a Round 3-4 talent with his cleanest NFL path coming as a one-gap interior disruptor in Upfield one-gap attack front. The current model grade sits at 82.78, with the board currently slotting him at No. 70. early contributor profile; controls interior gaps and collapses pocket.","- Usage fit: One-gap interior disruptor within Upfield one-gap attack front.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: early contributor profile; controls interior gaps and collapses pocket.","- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: One-gap interior disruptor in Upfield one-gap attack front. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Dan Williams (2010), athletic-profile match 97.06%.","Domonique Orange DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
jake-slaughter,Jake Slaughter,"Jake Slaughter (IOL, Florida) projects as a Round 3-4 talent with his cleanest NFL path coming as a power-drive guard profile in Gap / duo interior displacement menu. The current model grade sits at 82.39, with the board currently slotting him at No. 71. early contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Power-drive guard profile within Gap / duo interior displacement menu.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: early contributor profile; stabilizes interior pocket depth and run fits.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Power-drive guard profile in Gap / duo interior displacement menu. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Kingsley Eguakun (2024), athletic-profile match 96.4%.","Jake Slaughter IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
dontay-corleone,Dontay Corleone,"Dontay Corleone (DT, Cincinnati Bearcats) projects as a Round 3-4 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 82.42, with the board currently slotting him at No. 72. early contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: early contributor profile; controls interior gaps and collapses pocket.","- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Anthony White (2013), athletic-profile match 93.03%.","Dontay Corleone DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
chris-bell,Chris Bell,"Chris Bell (WR, Louisville) projects as a Round 3-4 talent with his cleanest NFL path coming as a alignment-flexible target earner in Spread spacing / progression target funnel. The current model grade sits at 80.94, with the board currently slotting him at No. 73. developmental contributor profile; creates separation and finishes at the catch point.","- Usage fit: Alignment-flexible target earner within Spread spacing / progression target funnel.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by route-volume earning.
- Model + film note: developmental contributor profile; creates separation and finishes at the catch point.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,"Best early team fit: CLE. Expected early deployment: Alignment-flexible target earner in Spread spacing / progression target funnel. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Zach Pascal (2017), athletic-profile match 96.51%.","Chris Bell WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
aj-haulcy,A.J. Haulcy,"A.J. Haulcy (S, LSU Tigers) projects as a Round 3-4 talent with his cleanest NFL path coming as a range-first split safety in Quarters / middle-field-open range fit. The current model grade sits at 82.22, with the board currently slotting him at No. 74. early contributor profile; eliminates explosives with range and communication.","- Usage fit: Range-first split safety within Quarters / middle-field-open range fit.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: early contributor profile; eliminates explosives with range and communication.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Range-first split safety in Quarters / middle-field-open range fit. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Stevie Brown (2010), athletic-profile match 96.49%.","A.J. Haulcy S scouting report, traits, role fit, concerns, and NFL Draft projection.",
anthony-lucas,Anthony Lucas,"Anthony Lucas (EDGE, USC Trojans) projects as a Round 3-4 talent with his cleanest NFL path coming as a three-down pressure creator in Multiple-front every-down edge role. The current model grade sits at 82.03, with the board currently slotting him at No. 75. early contributor profile; produces pressure through get-off and counters.","- Usage fit: Three-down pressure creator within Multiple-front every-down edge role.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: early contributor profile; produces pressure through get-off and counters.","- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- PFF grade 71.4 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: PHI. Expected early deployment: Three-down pressure creator in Multiple-front every-down edge role. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Shareef Miller (2019), athletic-profile match 96.64%.","Anthony Lucas EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
darrell-jackson-jr,Darrell Jackson Jr.,"Darrell Jackson Jr. (DT, Florida State) projects as a Round 3-4 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 82.41, with the board currently slotting him at No. 76. early contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: early contributor profile; controls interior gaps and collapses pocket.","- PFF grade 74.4 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Carl Davis (2015), athletic-profile match 96.9%.","Darrell Jackson Jr. DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
jadarian-price,Jadarian Price,"Jadarian Price (RB, Notre Dame) projects as a Round 3-4 talent with his cleanest NFL path coming as a primary committee back with passing-down utility in Wide-zone committee. The current model grade sits at 81.73, with the board currently slotting him at No. 77. developmental contributor profile; creates hidden yards and stays on schedule.","- Usage fit: Primary committee back with passing-down utility within Wide-zone committee.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: developmental contributor profile; creates hidden yards and stays on schedule.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,"Best early team fit: DAL. Expected early deployment: Primary committee back with passing-down utility in Wide-zone committee. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: Javonte Williams (2021), athletic-profile match 94.07%.","Jadarian Price RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
derrick-moore,Derrick Moore,"Derrick Moore (EDGE, Michigan) projects as a Round 3-4 talent with his cleanest NFL path coming as a three-down pressure creator in Multiple-front every-down edge role. The current model grade sits at 80.63, with the board currently slotting him at No. 78. developmental contributor profile; produces pressure through get-off and counters.","- Usage fit: Three-down pressure creator within Multiple-front every-down edge role.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: developmental contributor profile; produces pressure through get-off and counters.","- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Three-down pressure creator in Multiple-front every-down edge role. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Gimel President (2017), athletic-profile match 97.22%.","Derrick Moore EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
kyle-louis,Kyle Louis,"Kyle Louis (LB, Pittsburgh) projects as a Round 3-4 talent with his cleanest NFL path coming as a run-and-chase will backer in Pursuit-heavy split-safety fit. The current model grade sits at 81.70, with the board currently slotting him at No. 79. developmental contributor profile; processes quickly and closes efficiently.","- Usage fit: Run-and-chase WILL backer within Pursuit-heavy split-safety fit.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: developmental contributor profile; processes quickly and closes efficiently.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 73.1 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: HOU. Expected early deployment: Run-and-chase WILL backer in Pursuit-heavy split-safety fit. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Nick Martin (2025), athletic-profile match 92.69%.","Kyle Louis LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
keith-abney-ii,Keith Abney II,"Keith Abney II (CB, Arizona State Sun Devils) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 81.52, with the board currently slotting him at No. 80. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: DAndre Payne (2019), athletic-profile match 93.49%.","Keith Abney II CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
treydan-stukes,Treydan Stukes,"Treydan Stukes (CB, Arizona) projects as a Round 3-4 talent with his cleanest NFL path coming as a nickel matchup corner in Match-zone / big-nickel coverage family. The current model grade sits at 81.67, with the board currently slotting him at No. 81. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Nickel matchup corner within Match-zone / big-nickel coverage family.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Nickel matchup corner in Match-zone / big-nickel coverage family. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Desmond Trufant (2013), athletic-profile match 93.85%.","Treydan Stukes CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
jalon-kilgore,Jalon Kilgore,"Jalon Kilgore (S, South Carolina) projects as a Round 3-4 talent with his cleanest NFL path coming as a coverage-adjustment back-end starter in Split-safety multiplicity. The current model grade sits at 82.07, with the board currently slotting him at No. 82. early contributor profile; eliminates explosives with range and communication.","- Usage fit: Coverage-adjustment back-end starter within Split-safety multiplicity.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: early contributor profile; eliminates explosives with range and communication.","- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Coverage-adjustment back-end starter in Split-safety multiplicity. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Ronnie Hickman (2023), athletic-profile match 97.09%.","Jalon Kilgore S scouting report, traits, role fit, concerns, and NFL Draft projection.",
malik-muhammad,Malik Muhammad,"Malik Muhammad (CB, Texas) projects as a Round 3-4 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 80.17, with the board currently slotting him at No. 83. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.","- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Mikail Baker (2011), athletic-profile match 91.76%.","Malik Muhammad CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
deontae-lawson,Deontae Lawson,"Deontae Lawson (LB, Alabama) projects as a Round 3-4 talent with his cleanest NFL path coming as a space-match overhang backer in Big nickel overhang match. The current model grade sits at 81.24, with the board currently slotting him at No. 84. developmental contributor profile; processes quickly and closes efficiently.","- Usage fit: Space-match overhang backer within Big nickel overhang match.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: developmental contributor profile; processes quickly and closes efficiently.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Space-match overhang backer in Big nickel overhang match. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Nate Hall (2019), athletic-profile match 95.99%.","Deontae Lawson LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
nicholas-singleton,Nicholas Singleton,"Nicholas Singleton (RB, Penn State) projects as a Round 3-4 talent with his cleanest NFL path coming as a explosive one-cut slasher in Wide-zone one-cut system. The current model grade sits at 81.90, with the board currently slotting him at No. 85. developmental contributor profile; creates hidden yards and stays on schedule.","- Usage fit: Explosive one-cut slasher within Wide-zone one-cut system.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: developmental contributor profile; creates hidden yards and stays on schedule.","- Lack of explosive-run creation (10.4% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,"Best early team fit: DAL. Expected early deployment: Explosive one-cut slasher in Wide-zone one-cut system. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: Ryan Mathews (2010), athletic-profile match 97.35%.","Nicholas Singleton RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
gracen-halton,Gracen Halton,"Gracen Halton (DT, Oklahoma) projects as a Round 3-4 talent with his cleanest NFL path coming as a three-tech disruptor with anchor in Attack front with base-down sturdiness. The current model grade sits at 81.19, with the board currently slotting him at No. 86. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Three-tech disruptor with anchor within Attack front with base-down sturdiness.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Three-tech disruptor with anchor in Attack front with base-down sturdiness. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Payton Page (2025), athletic-profile match 91.37%.","Gracen Halton DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
gennings-dunker,Gennings Dunker,"Gennings Dunker (OT, Iowa) projects as a Round 3-4 talent with his cleanest NFL path coming as a movement tackle with run-game lift in Wide-zone / pin-pull tackle fit. The current model grade sits at 81.11, with the board currently slotting him at No. 87. developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Movement tackle with run-game lift within Wide-zone / pin-pull tackle fit.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Movement tackle with run-game lift in Wide-zone / pin-pull tackle fit. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Josh Simmons (2025), athletic-profile match 95.91%.","Gennings Dunker OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
