slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
darrell-jackson-jr,Darrell Jackson Jr.,DT,Florida State,"- PFF grade 74.4 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 74.4 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
derrick-moore,Derrick Moore,EDGE,Michigan,"- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
keith-abney-ii,Keith Abney II,CB,Arizona State Sun Devils,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
lee-hunter,Lee Hunter,DT,Texas Tech,"- Lower-body explosion is below preferred interior disruption threshold.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Lower-body explosion is below preferred interior disruption threshold.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
treydan-stukes,Treydan Stukes,CB,Arizona,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
zakee-wheatley,Zakee Wheatley,S,Penn State Nittany Lions,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
malik-muhammad,Malik Muhammad,CB,Texas,"- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
deontae-lawson,Deontae Lawson,LB,Alabama,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
jalon-kilgore,Jalon Kilgore,S,South Carolina,"- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
nicholas-singleton,Nicholas Singleton,RB,Penn State,"- Lack of explosive-run creation (10.4% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Lack of explosive-run creation (10.4% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
gennings-dunker,Gennings Dunker,OT,Iowa,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
jaishawn-barham,Jaishawn Barham,LB,Michigan,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
lt-overton,LT Overton,EDGE,Alabama,"- PFF grade 64.2 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 64.2 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
antonio-williams,Antonio Williams,WR,Clemson,"- Route-level efficiency is light for top projection tiers (YPRR 1.89).
- Target-earning rate (19.9% share) suggests volume translation risk against NFL coverage.","- Route-level efficiency is light for top projection tiers (YPRR 1.89).
- Target-earning rate (19.9% share) suggests volume translation risk against NFL coverage.",,,
keylan-rutledge,Keylan Rutledge,IOL,Georgia Tech,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
kyle-louis,Kyle Louis,LB,Pittsburgh,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 73.1 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 73.1 suggests current performance volatility that needs film-confirmed cleanup.",,,
austin-barber,Austin Barber,OT,Florida,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
sam-hecht,Sam Hecht,IOL,Kansas State,"- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
germie-bernard,Germie Bernard,WR,Alabama,"- Target-earning rate (19.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (19.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
devin-moore,Devin Moore,CB,Florida,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
harold-perkins-jr,Harold Perkins Jr.,LB,LSU,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 61.0 suggests current performance volatility that needs film-confirmed cleanup.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- PFF grade 61.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
michael-trigg,Michael Trigg,TE,Baylor Bears,"- Target-earning rate (17.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (17.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
demond-claiborne,Demond Claiborne,RB,Wake Forest,"- Lack of explosive-run creation (11.3% explosive rate) narrows home-run ceiling.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.","- Lack of explosive-run creation (11.3% explosive rate) narrows home-run ceiling.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
bud-clark,Bud Clark,S,TCU Horned Frogs,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
kaytron-allen,Kaytron Allen,RB,Penn State Nittany Lions,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
tacario-davis,Tacario Davis,CB,Washington,"- PFF grade 67.2 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 67.2 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
gracen-halton,Gracen Halton,DT,Oklahoma,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
joshua-josephs,Joshua Josephs,EDGE,Tennessee Volunteers,"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
mike-washington-jr,Mike Washington Jr.,RB,Arkansas,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
connor-lew,Connor Lew,IOL,Auburn Tigers,"- PFF grade 67.6 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 67.6 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
emmett-johnson,Emmett Johnson,RB,Nebraska Cornhuskers,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
ted-hurst,Ted Hurst,WR,Georgia State,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
malachi-fields,Malachi Fields,WR,Notre Dame,"- Target-earning rate (17.7% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (17.7% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
max-klare,Max Klare,TE,Purdue,"- Route-level efficiency is light for top projection tiers (YPRR 1.81).
- Target-earning rate (13.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 69.3 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.81).
- Target-earning rate (13.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 69.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
jack-endries,Jack Endries,TE,Texas Longhorns,"- Route-level efficiency is light for top projection tiers (YPRR 1.82).
- Target-earning rate (11.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.82).
- Target-earning rate (11.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 68.5 suggests current performance volatility that needs film-confirmed cleanup.",,,
sam-roush,Sam Roush,TE,Stanford,"- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (18.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 57.1 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (18.7% share) suggests volume translation risk against NFL coverage.
- PFF grade 57.1 suggests current performance volatility that needs film-confirmed cleanup.",,,
justin-joly,Justin Joly,TE,North Carolina State Wolfpack,"- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Target-earning rate (15.7% share) suggests volume translation risk against NFL coverage.","- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Target-earning rate (15.7% share) suggests volume translation risk against NFL coverage.",,,
zane-durant,Zane Durant,DT,Penn State,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 63.9 suggests current performance volatility that needs film-confirmed cleanup.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 63.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
eli-raridon,Eli Raridon,TE,Notre Dame,"- Target-earning rate (14.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 67.4 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (14.6% share) suggests volume translation risk against NFL coverage.
- PFF grade 67.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
brian-parker-ii,Brian Parker II,OT,Duke Blue Devils,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
drew-shelton,Drew Shelton,OT,Penn State Nittany Lions,"- PFF grade 70.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 70.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
bryce-lance,Bryce Lance,WR,North Dakota State,"- Scouting concern to verify: >.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Scouting concern to verify: >.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
taurean-york,Taurean York,LB,Texas A&M Aggies,"- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Play-strength profile can limit block deconstruction consistency at NFL second level.","- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Play-strength profile can limit block deconstruction consistency at NFL second level.",,,
cj-daniels,CJ Daniels,WR,Miami (FL) Hurricanes,"- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (17.2% share) suggests volume translation risk against NFL coverage.
- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (17.2% share) suggests volume translation risk against NFL coverage.
- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
drew-allar,Drew Allar,QB,Penn State,"- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- PFF grade 72.4 suggests current performance volatility that needs film-confirmed cleanup.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
billy-schrauth,Billy Schrauth,IOL,Notre Dame,"- PFF grade 74.9 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 74.9 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
aamil-wagner,Aamil Wagner,OT,Notre Dame,"- Play-mass profile is light for NFL tackle anchor demands against speed-to-power.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.","- Play-mass profile is light for NFL tackle anchor demands against speed-to-power.
- PFF grade 68.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
pat-coogan,Pat Coogan,IOL,Indiana Hoosiers,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
brenen-thompson,Brenen Thompson,WR,Mississippi State,"- Target-earning rate (18.4% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (18.4% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
aiden-fisher,Aiden Fisher,LB,Indiana Hoosiers,"- PFF grade 68.1 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 68.1 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
kaleb-elarms-orr,Kaleb Elarms-Orr,LB,TCU,"- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
julian-neal,Julian Neal,CB,Arkansas Razorbacks,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
keyron-crawford,Keyron Crawford,EDGE,Auburn,"- Total hurry volume (10.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (10.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
trey-zuhn-iii,Trey Zuhn III,IOL,Texas A&M,"- PFF grade 72.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 72.7 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
leveon-moss,Le'Veon Moss,RB,Texas A&M,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
demonte-capehart,DeMonte Capehart,DT,Clemson,"- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 71.2 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
kaleb-proctor,Kaleb Proctor,DT,Southeastern Louisiana,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
garrett-nussmeier,Garrett Nussmeier,QB,LSU,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
michael-taaffe,Michael Taaffe,S,Texas Longhorns,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
rayshaun-benny,Rayshaun Benny,DT,Michigan,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
charles-demmings,Charles Demmings,CB,Stephen F. Austin,"- Scouting concern to verify: >.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Scouting concern to verify: >.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
will-lee-iii,Will Lee III,CB,Texas A&M Aggies,"- PFF grade 66.5 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 66.5 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
tim-keenan-iii,Tim Keenan III,DT,Alabama Crimson Tide,"- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
seth-mcgowan,Seth McGowan,RB,Kentucky Wildcats,"- Lack of explosive-run creation (10.2% explosive rate) narrows home-run ceiling.
- PFF grade 70.1 suggests current performance volatility that needs film-confirmed cleanup.","- Lack of explosive-run creation (10.2% explosive rate) narrows home-run ceiling.
- PFF grade 70.1 suggests current performance volatility that needs film-confirmed cleanup.",,,
thaddeus-dixon,Thaddeus Dixon,CB,North Carolina Tar Heels,"- PFF grade 65.2 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 65.2 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
carson-beck,Carson Beck,QB,Miami (FL) Hurricanes,"- Turnover risk needs cleanup (12 INT) before high-leverage starter projection is stable.
- PFF grade 73.6 suggests current performance volatility that needs film-confirmed cleanup.","- Turnover risk needs cleanup (12 INT) before high-leverage starter projection is stable.
- PFF grade 73.6 suggests current performance volatility that needs film-confirmed cleanup.",,,
trey-moore,Trey Moore,LB,Texas Longhorns,"- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.","- Space-change profile is below ideal linebacker threshold, stressing mismatch coverage range.
- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
tyreak-sapp,Tyreak Sapp,EDGE,Florida,"- Total hurry volume (2.0) leaves less evidence of sustained rush disruption.
- PFF grade 64.9 suggests current performance volatility that needs film-confirmed cleanup.","- Total hurry volume (2.0) leaves less evidence of sustained rush disruption.
- PFF grade 64.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
skyler-gill-howard,Skyler Gill-Howard,DT,Texas Tech Red Raiders,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
jc-davis,J.C. Davis,OT,Illinois Fighting Illini,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
kage-casey,Kage Casey,OT,Boise State,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
eric-rivers,Eric Rivers,WR,Georgia Tech Yellow Jackets,"- Target-earning rate (16.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.7 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (16.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
zxavian-harris,Zxavian Harris,DT,Mississippi Rebels,"- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
